song_id,song_name,duration_ms,url,popularity,song_added,album_id,artist_id
2plbrEY59IikOBgBGLjaoe,Die With A Smile,251667,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,96,2025-03-05 02:21:24+00:00,10FLjwfpbxLmW8c25Xyc2N,1HY2Jd0NmPuamShAr6KMms
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),177598,https://open.spotify.com/track/2CGNAOSuO1MEFCbBRgUzjd,89,2025-03-05 02:21:29+00:00,1Ss0ArMRr91m83mOgRBjSZ,2YZyLoL8N0Wb9xBt1NhZWg
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,274192,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,92,2025-03-05 02:21:31+00:00,5JjnoGJyOxfSZUZtk2rRwZ,2YZyLoL8N0Wb9xBt1NhZWg
