album_id,name,release_date,total_tracks,url
10FLjwfpbxLmW8c25Xyc2N,Die With A Smile,2024-08-16,1,https://open.spotify.com/album/10FLjwfpbxLmW8c25Xyc2N
1Ss0ArMRr91m83mOgRBjSZ,GNX,2024-11-21,12,https://open.spotify.com/album/1Ss0ArMRr91m83mOgRBjSZ
5JjnoGJyOxfSZUZtk2rRwZ,Not Like Us,2024-05-04,1,https://open.spotify.com/album/5JjnoGJyOxfSZUZtk2rRwZ
